inv_lam_um,A_lam_over_AV
0.5023930248399076,0.2010111087095278
0.6133384066159913,0.2901736039401967
0.7186062142651402,0.3580510718965186
0.8413519032058794,0.4748262822733853
1.013969696211127,0.612310939597049
1.1443610532222728,0.7266535243352177
1.2796752533217592,0.8028194920688021
1.4219582264689237,0.8568862033397453
1.560576451641314,0.9304188155706096
1.684637809292827,0.9794262774943548
1.919615676411908,1.014896713222381
2.0674738339077265,1.05127844472998
2.204909880444614,1.098560675754788
2.342948867641521,1.1255841006029188
2.4842028429252494,1.129404532909593
2.620572790232824,1.127687090863473
2.75943690902502,1.126986094109955
2.898223636027108,1.1288854615040114
3.037221774748509,1.1236813951290836
3.175864348364918,1.1304243162819745
3.3144343982242326,1.1396040356732842
3.4533924005102,1.1357485535289331
3.5921834988072376,1.137501045412729
3.7308181246146495,1.1445110129479117
3.869417283324413,1.152712674964075
4.007702652600219,1.171457661961134
4.146124624843161,1.1856127892625352
4.290392955710349,1.1729714811407552
4.414472193172447,1.16954336593251
4.543582584697717,1.14786066473647
4.678332069786869,1.115770146053662
4.818301927505747,1.0779163213636744
4.958502669075976,1.0323047992680836
5.098212683114465,1.0031817222391783
5.237972569654403,0.9723829291613876
5.377249974514434,0.9577955205286476
5.516285716307152,0.9513279909574964
5.65538454383378,0.942740780726897
5.79438774928342,0.9373664722832578
5.93332488857077,0.934211986892425
6.072084692369884,0.9370159739064984
6.208123033905007,0.9370159739064984
6.349754513558146,0.9375767713093124
6.4896357035328975,0.9451124864096344
6.622064630401798,0.9485824203395508
6.764453552810274,0.956678932842686
6.9043827276818455,0.962602355409916
7.04311123698303,0.966457837554267
7.181954492776608,0.966457837554267
7.320870769065344,0.9640043489169524
7.459766182355462,0.9622518570331566
7.598672027144893,0.9601488667726024
7.737598734932938,0.9573448797585292
7.87646285372513,0.95664388300501
8.015368698514557,0.954540892744456
8.154347563799146,0.9499844138465868
8.293159525094797,0.9510359089768644
8.432044506885607,0.9496339154698274
8.570971214673648,0.9468299284557542
8.709908353961001,0.9436754430649223
8.84880376725112,0.9419229511811268
8.987594865548157,0.9436754430649223
9.126448552841044,0.9433249446881636
9.265291808634622,0.9433249446881636
9.404041180934424,0.9464794300789956
9.543009614719704,0.9422734495578852
9.681821576015356,0.9433249446881636
9.831536121708826,0.9415664919476194
9.9032023315027,0.9267346881882306
