redshift,M_UV,phi,err_phi
2.0,-21.86,3e-06,8e-07
2.0,-21.11,0.00027,8.9e-06
2.0,-20.61,0.000661,0.000154
2.0,-20.11,0.001797,0.000321
2.0,-19.61,0.003031,0.000301
2.0,-19.11,0.0046611,0.000353
2.0,-18.61,0.005855,0.000437
2.0,-18.11,0.007765,0.000617
2.0,-17.61,0.011541,0.000835
2.0,-17.11,0.010795,0.002006
2.0,-16.61,0.015992,0.003437
3.0,-22.52,6.6e-05,5e-06
3.0,-21.77,7.6e-05,3.8e-05
3.0,-21.27,0.000402,7.8e-05
3.0,-20.77,0.000769,0.000117
3.0,-20.27,0.001607,0.000157
3.0,-19.77,0.002005,0.00018
3.0,-19.27,0.003521,0.000239
3.0,-18.77,0.004557,0.000287
3.0,-18.27,0.006258,0.000437
3.0,-17.77,0.011417,0.000656
3.0,-17.27,0.010281,0.001368
4.0,-22.69,5.5e-05,4e-06
4.0,-22.19,0.000115,9e-06
4.0,-21.69,0.000144,2.2e-05
4.0,-21.19,0.000344,3.8e-05
4.0,-20.69,0.000698,6.8e-05
4.0,-20.19,0.001624,0.000131
4.0,-19.69,0.002276,0.000199
4.0,-19.19,0.003056,0.000388
4.0,-18.69,0.004371,0.000689
4.0,-17.94,0.01016,0.0092
4.0,-16.94,0.02742,0.00344
4.0,-15.94,0.02882,0.00874
5.0,-23.11,1e-06,1e-06
5.0,-22.61,1.4e-05,2e-06
5.0,-22.11,9.2e-05,7e-06
5.0,-21.61,0.000622,4.2e-05
5.0,-21.11,0.000584,4.4e-05
5.0,-20.61,0.000879,6.7e-05
5.0,-20.11,0.001594,0.000156
5.0,-19.61,0.002159,0.000346
5.0,-19.11,0.00462,0.00052
5.0,-18.36,0.00878,0.00154
5.0,-17.36,0.02512,0.00734
6.0,-22.52,2e-06,2e-06
6.0,-22.02,1.4e-05,5e-06
6.0,-21.52,5.1e-05,1.1e-05
6.0,-21.02,0.000169,2.4e-05
6.0,-20.52,0.000317,4.1e-05
6.0,-20.02,0.000724,8.7e-05
6.0,-19.52,0.001147,0.000157
6.0,-18.77,0.00282,0.00044
6.0,-17.77,0.00836,0.00166
6.0,-16.77,0.0171,0.00526
7.0,-22.19,1e-06,2e-06
7.0,-21.69,4.1e-05,1.1e-05
7.0,-21.19,4.7e-05,1.5e-05
7.0,-20.69,0.000198,3.6e-05
7.0,-20.19,0.000283,6.6e-05
7.0,-19.69,0.000589,0.000126
7.0,-19.19,0.001172,0.000336
7.0,-18.69,0.001433,0.000419
7.0,-17.94,0.00576,0.00144
7.0,-16.94,0.00832,0.0029
8.0,-21.85,3e-05,2e-06
8.0,-21.35,1.2e-05,4e-06
8.0,-20.85,0.000101,1.1e-05
8.0,-20.1,0.00021,4e-05
8.0,-19.35,0.000657,0.000233
8.0,-18.6,0.0011,0.00034
8.0,-17.6,0.00302,0.00114
9.0,-21.92,1e-06,1e-06
9.0,-21.12,7e-06,3e-06
9.0,-20.32,2.6e-05,9e-06
9.0,-19.12,0.000187,0.00015
9.0,-17.92,0.000923,0.000501
10.0,-22.25,2e-06,nan
10.0,-21.25,1e-06,1e-06
10.0,-20.25,1e-05,5e-06
10.0,-19.25,3.4e-05,2.2e-05
10.0,-18.25,0.00019,0.00012
10.0,-17.25,0.00063,0.00052
17.0,-19.79,1.584893192461114e-05,nan
17.0,-19.04,1.1748975549395302e-05,1.1259196730026856e-05
17.0,-18.29,5.495408738576248e-05,4.975876741932752e-05
17.0,-17.54,0.0001096478196143,9.928179347108545e-05
25.0,-18.99,2.5118864315095825e-05,nan
25.0,-18.24,1.5135612484362071e-05,1.2444077680435158e-05
25.0,-17.49,2.187761623949552e-05,2.0179372587033777e-05
